Name,Median Incomes,currency,incomes,zipcoded
Zip Code 10473,Families without Children,Dollars,51921,10473
Zip Code 10473,Families,Dollars,51096,10473
Zip Code 10474,Families without Children,Dollars,41220,10474
Zip Code 10474,Families,Dollars,25429,10474
Zip Code 10474,All Households,Dollars,22965,10474
Zip Code 10474,Families with Children,Dollars,20114,10474
Zip Code 10475,All Households,Dollars,51951,10475
Zip Code 10475,Families with Children,Dollars,51838,10475
Zip Code 10475,Families,Dollars,67383,10475
Zip Code 10475,Families without Children,Dollars,76474,10475
Zip Code 11001,All Households,Dollars,113300,11001
Zip Code 11001,Families without Children,Dollars,126994,11001
Zip Code 11001,Families,Dollars,134087,11001
Zip Code 11001,Families with Children,Dollars,142500,11001
Zip Code 11004,Families,Dollars,110406,11004
Zip Code 11004,Families with Children,Dollars,104965,11004
Zip Code 11004,All Households,Dollars,95436,11004
Zip Code 11004,Families without Children,Dollars,113256,11004
Zip Code 11005,Families,Dollars,139313,11005
Zip Code 11005,Families without Children,Dollars,139313,11005
Zip Code 11005,All Households,Dollars,55313,11005
Zip Code 11040,Families,Dollars,142316,11040
Zip Code 11040,Families with Children,Dollars,172879,11040
Zip Code 11040,All Households,Dollars,129344,11040
Zip Code 11040,Families without Children,Dollars,123484,11040
Zip Code 11096,All Households,Dollars,60675,11096
Zip Code 11096,Families with Children,Dollars,57303,11096
Zip Code 11096,Families,Dollars,67726,11096
Zip Code 11096,Families without Children,Dollars,69375,11096
Zip Code 11101,Families with Children,Dollars,71175,11101
Zip Code 11101,All Households,Dollars,75581,11101
Zip Code 11101,Families,Dollars,82636,11101
Zip Code 11101,Families without Children,Dollars,85750,11101
Zip Code 11102,Families without Children,Dollars,76609,11102
Zip Code 11102,Families,Dollars,75440,11102
Zip Code 11102,All Households,Dollars,71382,11102
Zip Code 11102,Families with Children,Dollars,70625,11102
Zip Code 11103,All Households,Dollars,76234,11103
Zip Code 11103,Families,Dollars,81250,11103
Zip Code 11103,Families without Children,Dollars,87625,11103
Zip Code 11103,Families with Children,Dollars,65463,11103
